chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
 0    K2c 1.878   1      6.10    0.00    0.00    0.00   0.136    0.49   -0.26    0.42  0
 0    K2b 1.878   1      4.44    0.00    0.00    0.00   0.106    0.42    0.27   -0.33  0
 0    K2a 1.878   1     19.73    0.00    0.00    0.00   0.155    0.89   -0.89    0.02  0
 0    K2c 1.878   3     30.28    0.00    0.00    0.00   0.134    0.64    N/A     N/A   0
 1    6.3 4.945   1      3.46    0.00    0.00    0.00   0.159    0.37   -0.36   -0.09  0
 1    6.2 4.945   1      1.65    0.00    0.00    0.00   0.159    0.26   -0.16   -0.20  0
 1    6.3 4.945   2      5.11    0.00    0.00    0.00   0.159    0.32    N/A     N/A   0
 2    B2b 1.853   1     34.53    0.00    0.00    0.00   0.324    1.18    0.97    0.67  0
 2    B2a 1.853   1     58.91    0.00    0.00    0.00   0.324    1.54    1.52    0.24  0
 2    B2b 1.853   2     93.44    0.00    0.00    0.00   0.324    1.37    N/A     N/A   0
 3    B1b 1.853   1     50.37    0.00    0.00    0.00   0.377    1.42    1.17    0.81  0
 3    B1a 1.853   1     47.50    0.00    0.00    0.00   0.377    1.38    1.38    0.07  0
 3    B1b 1.853   2     97.87    0.00    0.00    0.00   0.377    1.40    N/A     N/A   0
 4    1.3 1.270   1     40.04    0.00    0.00    0.00   0.326    1.27    0.31    1.23  0
 4    1.2 1.270   1      0.12    0.00    0.00    0.00   0.094    0.07    0.03    0.06  0
 4    1.1 1.270   1      5.05    0.00    0.00    0.00   0.244    0.45    0.18    0.41  0
 4    1.3 1.270   3     45.21    0.00    0.00    0.00   0.241    0.78    N/A     N/A   0
 5   10.3 3.380   1     14.17    0.00    0.00    0.00   0.330    0.75    0.16    0.74  0
 5   10.2 3.380   1     37.68    0.00    0.00    0.00   0.330    1.23   -0.16   -1.22  0
 5   10.3 3.380   2     51.85    0.00    0.00    0.00   0.330    1.02    N/A     N/A   0
 6   7.2d 3.390   1     26.54    0.00    0.00    0.00   0.443    1.03   -0.86   -0.57  0
 6   7.2c 3.390   1     87.86    0.00    0.00    0.00   0.826    1.87   -0.36    1.84  0
 6   7.2b 3.390   1     16.19    0.00    0.00    0.00   0.371    0.80   -0.68    0.43  0
 6   7.2a 3.390   1      2.26    0.00    0.00    0.00   0.188    0.30   -0.16   -0.26  0
 6   7.2d 3.390   4    132.85    0.00    0.00    0.00   0.513    1.15    N/A     N/A   0
 7    4.3 6.200   1     36.13    0.00    0.00    0.00   0.643    1.20    0.16   -1.19  0
 7    4.1 6.200   1     65.31    0.00    0.00    0.00   0.643    1.62    1.50    0.59  0
 7    4.3 6.200   2    101.43    0.00    0.00    0.00   0.643    1.42    N/A     N/A   0
chimul                 558.03    0.00    0.00    0.00   0.379    1.06    N/A     N/A   0
log(Likelihood)       -251.40

chitot           558.03
log(Likelihood)    -251.40
